Vehicle Make,n,Fatal Injury,Suspected Serious Injury,Suspected Minor Injury,Possible Injury,No Apparent Injury
PONTAIC,4,0.0,0.0,0.0,0.0,100.0
PRCE,4,0.0,0.0,0.0,0.0,100.0
ROYAL ENFIELD,4,0.0,25.0,50.0,25.0,0.0
SCHOOL,4,0.0,0.0,0.0,0.0,100.0
SUBARA,4,0.0,0.0,0.0,0.0,100.0
SUBARY,4,0.0,0.0,0.0,25.0,75.0
SUBR,4,0.0,0.0,0.0,25.0,75.0
SUZ,4,0.0,0.0,50.0,50.0,0.0
SUZIKI,4,0.0,0.0,50.0,0.0,50.0
THO,4,0.0,0.0,0.0,0.0,100.0
TREK,4,0.0,25.0,50.0,25.0,0.0
U/K,4,0.0,0.0,0.0,0.0,100.0
US,4,0.0,0.0,0.0,0.0,100.0
UTILIMASTER,4,0.0,0.0,0.0,0.0,100.0
VESPA,4,0.0,0.0,25.0,50.0,25.0
VNHL,4,0.0,0.0,0.0,0.0,100.0
VOLKSWAGAN,4,0.0,0.0,0.0,0.0,100.0
VOVLO,4,0.0,0.0,25.0,0.0,75.0
WESTERN,4,0.0,0.0,0.0,0.0,100.0
YAHAMA,4,0.0,50.0,25.0,0.0,25.0
"1/OFF KUSTOMS, LLC",3,0.0,0.0,0.0,0.0,100.0
ACRUA,3,0.0,0.0,33.33,33.33,33.33
ACUA,3,0.0,0.0,0.0,0.0,100.0
AMER,3,0.0,0.0,0.0,0.0,100.0
AMERICAN,3,0.0,0.0,0.0,0.0,100.0
APOLLO,3,0.0,0.0,0.0,66.67,33.33
BICYCLE,3,0.0,0.0,0.0,66.67,33.33
BILL,3,0.0,0.0,0.0,0.0,100.0
BLUEBIRD,3,0.0,0.0,0.0,0.0,100.0
BUCK,3,0.0,0.0,33.33,0.0,66.67
CADILLIAC,3,0.0,0.0,0.0,0.0,100.0
CARGO,3,0.0,0.0,0.0,0.0,100.0
CHE VY,3,0.0,0.0,0.0,0.0,100.0
CHEROLET,3,0.0,0.0,0.0,0.0,100.0
CHEVE,3,0.0,0.0,0.0,0.0,100.0
CHRSLER,3,0.0,0.0,0.0,33.33,66.67
CHRYSLEY,3,0.0,0.0,66.67,0.0,33.33
CHVROLET,3,0.0,0.0,0.0,0.0,100.0
CHYRSLER,3,0.0,0.0,33.33,0.0,66.67
CIVIC,3,0.0,0.0,0.0,33.33,66.67
COROLLA,3,0.0,0.0,0.0,33.33,66.67
CRYS,3,0.0,0.0,33.33,33.33,33.33
DAEWOO,3,0.0,0.0,0.0,0.0,100.0
DIDGE,3,0.0,0.0,0.0,0.0,100.0
DUCA,3,0.0,33.33,33.33,33.33,0.0
EAGLE,3,0.0,0.0,0.0,33.33,66.67
EZGO,3,0.0,0.0,66.67,33.33,0.0
FIRE TRUCK,3,0.0,0.0,0.0,0.0,100.0
FLY WING,3,0.0,33.33,33.33,33.33,0.0
FOED,3,0.0,0.0,0.0,0.0,100.0
