Vehicle Make,n,Fatal Injury,Suspected Serious Injury,Suspected Minor Injury,Possible Injury,No Apparent Injury
MAILTRUCK,1,0.0,0.0,0.0,0.0,100.0
MAKE,1,0.0,0.0,0.0,0.0,100.0
MANAC,1,0.0,0.0,0.0,0.0,100.0
MANDALAY,1,0.0,0.0,0.0,0.0,100.0
MARIN,1,0.0,0.0,0.0,0.0,100.0
MAROON,1,0.0,0.0,0.0,0.0,100.0
MARTZ,1,0.0,0.0,0.0,0.0,100.0
MASERTI,1,0.0,0.0,100.0,0.0,0.0
MAST,1,0.0,0.0,0.0,0.0,100.0
MATL,1,0.0,0.0,0.0,0.0,100.0
MAXDA,1,0.0,0.0,100.0,0.0,0.0
MAXIMA,1,0.0,0.0,0.0,0.0,100.0
MAZDA 3,1,0.0,0.0,0.0,0.0,100.0
MAZFA,1,0.0,0.0,100.0,0.0,0.0
MAZZERATI,1,0.0,0.0,0.0,0.0,100.0
MCPS,1,0.0,0.0,0.0,0.0,100.0
MD,1,0.0,0.0,0.0,100.0,0.0
MEC,1,0.0,0.0,0.0,0.0,100.0
MECEDEZ,1,0.0,0.0,0.0,100.0,0.0
MECREDES,1,0.0,0.0,0.0,0.0,100.0
MEDZ,1,0.0,0.0,0.0,0.0,100.0
MER BENX,1,0.0,0.0,0.0,0.0,100.0
MER-BENZ,1,0.0,0.0,0.0,0.0,100.0
MERC BENZ,1,0.0,0.0,0.0,0.0,100.0
MERC EDES,1,0.0,0.0,0.0,0.0,100.0
MERCARY,1,0.0,0.0,0.0,0.0,100.0
MERCE,1,0.0,0.0,0.0,0.0,100.0
MERCED,1,0.0,0.0,0.0,0.0,100.0
MERCEDED,1,0.0,0.0,0.0,0.0,100.0
MERCEDEES,1,0.0,0.0,0.0,0.0,100.0
MERCEDES BEN,1,0.0,0.0,0.0,0.0,100.0
MERCEDES ENZ,1,0.0,0.0,0.0,0.0,100.0
MERCEDES ZBENZ,1,0.0,0.0,0.0,0.0,100.0
MERCEDES-BE,1,0.0,0.0,0.0,0.0,100.0
MERCEDESS,1,0.0,0.0,0.0,0.0,100.0
MERCEDEZ BENS,1,0.0,0.0,0.0,100.0,0.0
MERCEDS,1,0.0,0.0,0.0,0.0,100.0
MERCEEDEZ,1,0.0,0.0,0.0,0.0,100.0
MERCEES,1,0.0,0.0,0.0,0.0,100.0
MERCENDES,1,0.0,0.0,0.0,0.0,100.0
MERCERY,1,0.0,0.0,0.0,0.0,100.0
MERCEZ,1,0.0,0.0,0.0,100.0,0.0
MERCRDEZ BENZ,1,0.0,0.0,0.0,0.0,100.0
MERCRY,1,0.0,0.0,0.0,0.0,100.0
MERDECES,1,0.0,0.0,0.0,0.0,100.0
MERDECES-BENZ,1,0.0,0.0,0.0,0.0,100.0
MERDEDES,1,0.0,0.0,100.0,0.0,0.0
MERECEDEZ,1,0.0,0.0,0.0,0.0,100.0
MERS-BENZ,1,0.0,0.0,0.0,0.0,100.0
MERTO BUS,1,0.0,0.0,0.0,0.0,100.0
MERX,1,0.0,0.0,0.0,0.0,100.0
MERZ 4S,1,0.0,0.0,0.0,0.0,100.0
MERZEDES BENZ,1,0.0,0.0,0.0,0.0,100.0
MERZEDEZ,1,0.0,0.0,100.0,0.0,0.0
METRORIDER LLC,1,0.0,0.0,0.0,0.0,100.0
MEZ,1,0.0,0.0,0.0,0.0,100.0
MICHIGAN,1,0.0,0.0,100.0,0.0,0.0
MICKEY,1,0.0,0.0,0.0,0.0,100.0
MIG TRAILERS,1,0.0,0.0,0.0,0.0,100.0
MINICARS,1,0.0,0.0,0.0,0.0,100.0
MINIVAL2013,1,0.0,0.0,0.0,0.0,100.0
MIST,1,0.0,0.0,0.0,0.0,100.0
MISTI,1,0.0,0.0,100.0,0.0,0.0
MISTISBUSH,1,0.0,0.0,0.0,0.0,100.0
MISTSUBISHI,1,0.0,0.0,0.0,100.0,0.0
MIT SUBISHI,1,0.0,0.0,0.0,0.0,100.0
MITBISHI,1,0.0,0.0,0.0,0.0,100.0
MITBUSHI,1,0.0,0.0,0.0,0.0,100.0
MITH=SHUBISHI,1,0.0,0.0,0.0,100.0,0.0
MITI,1,0.0,0.0,0.0,0.0,100.0
MITIS,1,0.0,0.0,100.0,0.0,0.0
MITISHBI,1,0.0,0.0,0.0,0.0,100.0
MITISHIBI,1,0.0,0.0,0.0,0.0,100.0
MITISUBISHI,1,0.0,0.0,0.0,0.0,100.0
MITSBSHI,1,0.0,0.0,0.0,0.0,100.0
MITSHBISHI,1,0.0,0.0,0.0,0.0,100.0
MITSHIBUSHI,1,0.0,0.0,0.0,0.0,100.0
MITSIBUISHI,1,0.0,0.0,0.0,100.0,0.0
MITSUB,1,0.0,0.0,0.0,0.0,100.0
MITSUBHISHI,1,0.0,0.0,0.0,0.0,100.0
MITSUBI,1,0.0,0.0,0.0,0.0,100.0
MITSUBICHI,1,0.0,0.0,0.0,0.0,100.0
MITSUBIHSI,1,0.0,0.0,0.0,0.0,100.0
MITSUBISSHI,1,0.0,0.0,100.0,0.0,0.0
MITSUBSCHI,1,0.0,0.0,0.0,0.0,100.0
MITSUNSHI,1,0.0,0.0,0.0,0.0,100.0
MITT,1,0.0,0.0,0.0,100.0,0.0
MITUBISHI,1,0.0,0.0,0.0,0.0,100.0
MITUS,1,0.0,0.0,0.0,0.0,100.0
MITUSBISHI,1,0.0,0.0,0.0,100.0,0.0
MIXED,1,0.0,0.0,0.0,0.0,100.0
MIYS,1,0.0,0.0,0.0,0.0,100.0
MNI,1,0.0,0.0,0.0,100.0,0.0
MOGU,1,0.0,0.0,0.0,0.0,100.0
MONSTER,1,0.0,0.0,0.0,100.0,0.0
MORGAN OLSON,1,0.0,0.0,0.0,0.0,100.0
MOSSAM,1,0.0,0.0,0.0,0.0,100.0
MOTIV,1,0.0,0.0,0.0,100.0,0.0
MOTO,1,0.0,0.0,0.0,0.0,100.0
MOTOGUZZI,1,0.0,0.0,0.0,0.0,100.0
MOTOR COACH,1,0.0,0.0,0.0,0.0,100.0
MOTOR COACH IND.,1,0.0,0.0,0.0,0.0,100.0
MOTOR COACH INDUST.,1,0.0,0.0,0.0,0.0,100.0
MQZDA,1,0.0,0.0,0.0,100.0,0.0
MRCEDES,1,0.0,0.0,0.0,0.0,100.0
MRECEDES,1,0.0,0.0,100.0,0.0,0.0
MREZ,1,0.0,0.0,0.0,0.0,100.0
MRRZ,1,0.0,0.0,0.0,0.0,100.0
MTIS,1,0.0,100.0,0.0,0.0,0.0
MTSUBISHI,1,0.0,0.0,0.0,0.0,100.0
MUCURY,1,0.0,0.0,0.0,0.0,100.0
MURCERY,1,0.0,0.0,0.0,0.0,100.0
MYST,1,0.0,0.0,100.0,0.0,0.0
NABI (BUS),1,0.0,0.0,0.0,0.0,100.0
NAZDA,1,0.0,0.0,0.0,0.0,100.0
NCI,1,0.0,0.0,0.0,0.0,100.0
NEW F,1,0.0,0.0,0.0,0.0,100.0
NEW FLER,1,0.0,0.0,0.0,0.0,100.0
NEW FLIER,1,0.0,0.0,0.0,0.0,100.0
NEW FLYER BUS,1,0.0,0.0,0.0,0.0,100.0
NEW FLYER IND.,1,0.0,0.0,0.0,0.0,100.0
NEW FLYER TRANSIT,1,0.0,0.0,0.0,0.0,100.0
NEW GLYER,1,0.0,0.0,0.0,0.0,100.0
NEW LYER,1,0.0,0.0,0.0,0.0,100.0
NEW TBU,1,0.0,0.0,0.0,0.0,100.0
NEWCO INC,1,0.0,0.0,0.0,0.0,100.0
NEWFOUNDLAND,1,0.0,0.0,0.0,0.0,100.0
NEWVAL,1,0.0,0.0,0.0,0.0,100.0
NEWVAL2011,1,0.0,0.0,0.0,0.0,100.0
NEXH,1,0.0,0.0,0.0,0.0,100.0
NEY FLYER,1,0.0,0.0,0.0,0.0,100.0
NI,1,0.0,0.0,0.0,0.0,100.0
NINGBO,1,0.0,100.0,0.0,0.0,0.0
NINJA,1,0.0,0.0,100.0,0.0,0.0
NINTH CIRCLE CUSTOMS,1,0.0,0.0,0.0,0.0,100.0
NISAAN,1,0.0,0.0,0.0,0.0,100.0
NISSAB,1,0.0,0.0,0.0,0.0,100.0
NISSAM,1,0.0,0.0,0.0,0.0,100.0
NISSAN 4S,1,0.0,0.0,0.0,0.0,100.0
NISSAN DIESEL,1,0.0,0.0,0.0,0.0,100.0
NISSAN320,1,0.0,0.0,0.0,0.0,100.0
NISSANT,1,0.0,0.0,0.0,0.0,100.0
NISSAS,1,0.0,0.0,0.0,0.0,100.0
NISSASN,1,0.0,0.0,0.0,100.0,0.0
NISSIA,1,0.0,0.0,0.0,100.0,0.0
NISSVAL2007,1,0.0,100.0,0.0,0.0,0.0
NISSVAL2008,1,0.0,0.0,0.0,0.0,100.0
NIU,1,0.0,0.0,0.0,100.0,0.0
NMDC,1,0.0,0.0,0.0,0.0,100.0
NOBA,1,0.0,0.0,0.0,0.0,100.0
NONE,1,0.0,0.0,0.0,100.0,0.0
NOV B,1,0.0,0.0,0.0,0.0,100.0
NSS,1,0.0,0.0,0.0,100.0,0.0
NUSS,1,0.0,0.0,0.0,100.0,0.0
NWLA,1,0.0,0.0,0.0,0.0,100.0
NY MOTORCYCLES,1,0.0,0.0,100.0,0.0,0.0
NYUNDAI,1,0.0,0.0,0.0,0.0,100.0
ODGE,1,0.0,0.0,0.0,0.0,100.0
OLDEMOBILE,1,0.0,0.0,0.0,0.0,100.0
OLDESMOBILE,1,0.0,0.0,0.0,100.0,0.0
OLDSMOBIL,1,0.0,0.0,0.0,0.0,100.0
ONDA,1,0.0,0.0,100.0,0.0,0.0
OO,1,0.0,0.0,0.0,0.0,100.0
OR,1,0.0,0.0,0.0,0.0,100.0
ORDD,1,0.0,0.0,0.0,0.0,100.0
ORIAN,1,0.0,0.0,0.0,0.0,100.0
ORIAN BLUE,1,0.0,0.0,0.0,0.0,100.0
ORIO DS,1,0.0,0.0,0.0,0.0,100.0
ORION 5,1,0.0,0.0,0.0,0.0,100.0
ORION BUS,1,0.0,0.0,0.0,0.0,100.0
ORION V,1,0.0,0.0,0.0,0.0,100.0
OSHKOSH,1,0.0,0.0,0.0,0.0,100.0
OUTLANDER,1,0.0,0.0,0.0,0.0,100.0
PACESETTER,1,0.0,0.0,0.0,0.0,100.0
PANTIAC,1,0.0,0.0,0.0,0.0,100.0
PBUILT,1,0.0,0.0,0.0,0.0,100.0
PCH,1,0.0,0.0,0.0,100.0,0.0
PEN,1,0.0,0.0,0.0,0.0,100.0
PERML,1,0.0,0.0,0.0,0.0,100.0
PERTERBUILT,1,0.0,0.0,0.0,0.0,100.0
PETEBUILT,1,0.0,0.0,0.0,0.0,100.0
PETERB,1,0.0,0.0,0.0,0.0,100.0
PETERBELT,1,0.0,0.0,0.0,0.0,100.0
PETERBIL,1,0.0,0.0,0.0,0.0,100.0
PETERBLT,1,0.0,0.0,0.0,0.0,100.0
PETERBUILT 389,1,0.0,0.0,0.0,0.0,100.0
PETERBULIT,1,0.0,0.0,0.0,0.0,100.0
PIAG,1,0.0,0.0,0.0,100.0,0.0
PIERCE-DASH,1,0.0,0.0,0.0,0.0,100.0
PIERS,1,0.0,0.0,0.0,0.0,100.0
PIRCE,1,0.0,0.0,0.0,0.0,100.0
PK,1,0.0,0.0,0.0,0.0,100.0
PLMOTH,1,0.0,0.0,0.0,0.0,100.0
PLYMOTH,1,0.0,0.0,0.0,0.0,100.0
POLA,1,0.0,0.0,0.0,0.0,100.0
POLICE,1,0.0,0.0,0.0,0.0,100.0
POMTIAC,1,0.0,0.0,0.0,0.0,100.0
PONIAC,1,0.0,0.0,0.0,0.0,100.0
PONITAC,1,0.0,0.0,0.0,0.0,100.0
PONT.,1,0.0,0.0,0.0,0.0,100.0
PONTIC,1,0.0,0.0,0.0,0.0,100.0
POR,1,0.0,0.0,0.0,0.0,100.0
PORSCE,1,0.0,0.0,0.0,0.0,100.0
PORSE,1,0.0,0.0,0.0,0.0,100.0
PORSH,1,0.0,0.0,0.0,0.0,100.0
PORSHCE,1,0.0,0.0,100.0,0.0,0.0
POSCH,1,0.0,0.0,0.0,0.0,100.0
POSTAL TRUCK,1,0.0,0.0,0.0,0.0,100.0
POYOTA,1,0.0,0.0,0.0,0.0,100.0
PRECISION,1,0.0,0.0,0.0,0.0,100.0
PREO,1,0.0,0.0,0.0,0.0,100.0
PREV,1,0.0,0.0,0.0,0.0,100.0
PREVO,1,0.0,0.0,0.0,0.0,100.0
PRIDE,1,0.0,0.0,0.0,100.0,0.0
PROMASTER,1,0.0,0.0,0.0,0.0,100.0
PROTERRA,1,0.0,0.0,0.0,0.0,100.0
PTBT,1,0.0,0.0,0.0,0.0,100.0
PTRD,1,0.0,0.0,0.0,0.0,100.0
PTRP,1,0.0,0.0,0.0,0.0,100.0
PUNT,1,0.0,0.0,0.0,0.0,100.0
PUSH,1,0.0,0.0,0.0,0.0,100.0
PUSH-MSDE-D-12,1,0.0,0.0,0.0,0.0,100.0
QIPAI,1,0.0,0.0,100.0,0.0,0.0
QLINK,1,0.0,100.0,0.0,0.0,0.0
QMWHEEL,1,0.0,0.0,100.0,0.0,0.0
RALLY,1,0.0,0.0,0.0,100.0,0.0
RANGE ROGER,1,0.0,0.0,0.0,0.0,100.0
RANGER ROVER,1,0.0,0.0,0.0,0.0,100.0
RANGROV,1,0.0,0.0,0.0,0.0,100.0
RAV,1,0.0,0.0,0.0,0.0,100.0
RAZOR,1,0.0,0.0,0.0,100.0,0.0
RDX,1,0.0,0.0,0.0,0.0,100.0
RECON ISUZU,1,0.0,0.0,0.0,100.0,0.0
RECY,1,0.0,0.0,0.0,0.0,100.0
RED,1,0.0,0.0,0.0,0.0,100.0
REIT,1,0.0,0.0,0.0,0.0,100.0
REX,1,0.0,0.0,0.0,0.0,100.0
RIDE,1,0.0,0.0,0.0,0.0,100.0
RIDE ON BUS,1,0.0,0.0,0.0,0.0,100.0
RIDE-ON,1,0.0,0.0,0.0,0.0,100.0
RIMSON,1,0.0,0.0,0.0,0.0,100.0
RNG RVR,1,0.0,0.0,100.0,0.0,0.0
RO,1,0.0,0.0,0.0,0.0,100.0
ROAD,1,0.0,0.0,0.0,0.0,100.0
ROCKBIKE,1,100.0,0.0,0.0,0.0,0.0
ROCKET,1,0.0,0.0,100.0,0.0,0.0
ROEHR MOTORCYCLES,1,0.0,0.0,0.0,100.0,0.0
ROEN,1,0.0,0.0,100.0,0.0,0.0
ROLLS,1,0.0,0.0,0.0,0.0,100.0
ROLLS ROYCE,1,0.0,0.0,0.0,0.0,100.0
ROUGE,1,0.0,0.0,0.0,0.0,100.0
ROYA,1,0.0,100.0,0.0,0.0,0.0
ROYAL,1,0.0,0.0,100.0,0.0,0.0
ROYALENFIELD,1,0.0,100.0,0.0,0.0,0.0
ROYOTA,1,0.0,0.0,0.0,0.0,100.0
RV,1,0.0,0.0,0.0,0.0,100.0
RYDER,1,0.0,0.0,0.0,0.0,100.0
S,1,0.0,0.0,0.0,0.0,100.0
SAATURN,1,0.0,0.0,0.0,0.0,100.0
SABARU,1,0.0,0.0,0.0,0.0,100.0
SABB,1,0.0,0.0,0.0,0.0,100.0
SABSRU,1,0.0,0.0,0.0,0.0,100.0
SABURU,1,0.0,0.0,0.0,0.0,100.0
SAF-T-LINER,1,0.0,0.0,0.0,0.0,100.0
SAFT,1,0.0,0.0,0.0,0.0,100.0
SAG,1,0.0,0.0,0.0,0.0,100.0
SANTA FE,1,0.0,0.0,0.0,0.0,100.0
SANYANNG,1,0.0,0.0,0.0,100.0,0.0
SANYOU HOLDING GROUP,1,0.0,0.0,0.0,0.0,100.0
SATRN,1,0.0,0.0,0.0,0.0,100.0
SATRUN,1,0.0,0.0,0.0,0.0,100.0
SATUR,1,0.0,0.0,0.0,0.0,100.0
SATURNN,1,0.0,0.0,0.0,0.0,100.0
SAUB,1,0.0,0.0,0.0,0.0,100.0
SAULSBURY,1,0.0,0.0,0.0,0.0,100.0
SCIOI,1,0.0,0.0,0.0,0.0,100.0
SCIONE,1,0.0,0.0,100.0,0.0,0.0
SCOOTER,1,0.0,0.0,0.0,100.0,0.0
SCOOTERCAR,1,0.0,0.0,100.0,0.0,0.0
SEAGATE,1,0.0,0.0,0.0,0.0,100.0
SEDAN,1,0.0,0.0,0.0,0.0,100.0
SEGWAY,1,0.0,0.0,100.0,0.0,0.0
SEMI,1,0.0,0.0,0.0,100.0,0.0
SENTRA,1,0.0,0.0,0.0,100.0,0.0
SERROTA,1,0.0,0.0,0.0,100.0,0.0
SETRA,1,0.0,0.0,0.0,0.0,100.0
SHAD,1,0.0,0.0,0.0,0.0,100.0
SHADOW,1,0.0,0.0,100.0,0.0,0.0
SHSRD78555U336510,1,0.0,0.0,0.0,0.0,100.0
SILV,1,0.0,0.0,0.0,0.0,100.0
SION,1,0.0,0.0,0.0,0.0,100.0
SISSON,1,0.0,0.0,0.0,0.0,100.0
SLINGSHOT,1,0.0,0.0,0.0,0.0,100.0
SMART CAR,1,0.0,0.0,0.0,0.0,100.0
SMC,1,0.0,0.0,0.0,0.0,100.0
SOUT,1,0.0,0.0,0.0,0.0,100.0
SP,1,0.0,0.0,0.0,0.0,100.0
SPARK,1,0.0,0.0,0.0,0.0,100.0
SPARTA,1,0.0,0.0,0.0,0.0,100.0
SPARTAN MOTORS,1,0.0,0.0,0.0,0.0,100.0
SPARTIAN,1,0.0,0.0,0.0,0.0,100.0
SPNR,1,0.0,0.0,0.0,0.0,100.0
SPRINGER,1,0.0,0.0,0.0,0.0,100.0
SPRINT,1,0.0,0.0,0.0,0.0,100.0
SPRINTER,1,0.0,0.0,0.0,0.0,100.0
SPRM,1,0.0,0.0,0.0,0.0,100.0
SRTC,1,0.0,0.0,0.0,0.0,100.0
SSR,1,0.0,0.0,0.0,0.0,100.0
SSR MOTORSPORT,1,0.0,100.0,0.0,0.0,0.0
SSRY,1,0.0,100.0,0.0,0.0,0.0
SSUBARU,1,0.0,0.0,0.0,0.0,100.0
ST,1,0.0,0.0,0.0,0.0,100.0
STACRAFT,1,0.0,0.0,0.0,0.0,100.0
STATURN,1,0.0,0.0,0.0,0.0,100.0
STCR,1,0.0,0.0,0.0,0.0,100.0
STE,1,0.0,0.0,0.0,0.0,100.0
STELING,1,0.0,0.0,0.0,0.0,100.0
STEM,1,0.0,0.0,0.0,0.0,100.0
STER DS,1,0.0,0.0,0.0,0.0,100.0
STERING,1,0.0,0.0,0.0,0.0,100.0
STERL,1,0.0,0.0,0.0,0.0,100.0
STIRLING,1,0.0,0.0,0.0,0.0,100.0
STL INDUSTRIAL,1,0.0,0.0,0.0,0.0,100.0
STLG DS,1,0.0,0.0,0.0,0.0,100.0
STOU,1,0.0,0.0,0.0,0.0,100.0
STR,1,0.0,0.0,0.0,0.0,100.0
STRA,1,0.0,0.0,0.0,0.0,100.0
STRAIGHT,1,0.0,0.0,0.0,0.0,100.0
SU,1,0.0,0.0,0.0,0.0,100.0
SUA,1,0.0,0.0,100.0,0.0,0.0
SUBARBU,1,0.0,0.0,0.0,0.0,100.0
SUBARE,1,0.0,0.0,100.0,0.0,0.0
SUBARO,1,0.0,0.0,0.0,0.0,100.0
SUBARRU,1,0.0,0.0,0.0,0.0,100.0
SUBARUUSS,1,0.0,0.0,0.0,0.0,100.0
SUBAVAL1997,1,0.0,0.0,0.0,0.0,100.0
SUBRA,1,0.0,0.0,0.0,0.0,100.0
SUBRARU,1,0.0,0.0,0.0,100.0,0.0
SUBRAU,1,0.0,0.0,0.0,0.0,100.0
SUBUARU,1,0.0,0.0,0.0,0.0,100.0
SUBUR,1,0.0,0.0,0.0,0.0,100.0
SUBURAU,1,0.0,0.0,0.0,0.0,100.0
SUBUREU,1,0.0,0.0,0.0,0.0,100.0
SUNARU,1,0.0,0.0,0.0,0.0,100.0
SUNL,1,0.0,100.0,0.0,0.0,0.0
SUR RON,1,0.0,0.0,0.0,100.0,0.0
SURARU,1,0.0,0.0,0.0,0.0,100.0
SURE,1,0.0,0.0,0.0,0.0,100.0
SURE-TRAC,1,0.0,0.0,0.0,0.0,100.0
SURRON,1,0.0,0.0,100.0,0.0,0.0
SUUKI,1,0.0,0.0,0.0,0.0,100.0
SUZAKI,1,0.0,0.0,0.0,100.0,0.0
SUZK,1,0.0,0.0,0.0,0.0,100.0
SUZKI,1,0.0,0.0,0.0,0.0,100.0
SUZUK,1,0.0,0.0,0.0,0.0,100.0
SWE,1,0.0,0.0,0.0,100.0,0.0
SXR,1,0.0,0.0,0.0,0.0,100.0
SYM,1,0.0,0.0,100.0,0.0,0.0
SZUSU,1,0.0,0.0,0.0,0.0,100.0
T,1,0.0,0.0,0.0,0.0,100.0
"T.H.S. PRODUCTS, INC",1,0.0,0.0,0.0,0.0,100.0
T0Y0TA,1,0.0,0.0,0.0,0.0,100.0
T0YOT,1,0.0,0.0,0.0,0.0,100.0
T0YT,1,0.0,0.0,0.0,0.0,100.0
TAHOE,1,0.0,0.0,0.0,0.0,100.0
TAIW,1,0.0,100.0,0.0,0.0,0.0
TAIWAN GOLDEN BEE,1,0.0,0.0,100.0,0.0,0.0
TAKE,1,0.0,0.0,0.0,0.0,100.0
TALIAH,1,0.0,0.0,0.0,100.0,0.0
TAO,1,0.0,0.0,100.0,0.0,0.0
TAO MOTORS,1,0.0,0.0,100.0,0.0,0.0
TAOTAO MOTORS,1,0.0,0.0,100.0,0.0,0.0
TEMSA,1,0.0,0.0,0.0,0.0,100.0
TESTLA,1,0.0,0.0,0.0,0.0,100.0
TGB,1,0.0,0.0,100.0,0.0,0.0
THAOMAS,1,0.0,0.0,0.0,0.0,100.0
THBT,1,0.0,0.0,0.0,0.0,100.0
THIMAS,1,0.0,0.0,0.0,0.0,100.0
THOAS,1,0.0,0.0,0.0,0.0,100.0
THOM SCHOOL,1,0.0,0.0,0.0,0.0,100.0
THOMAS BLU,1,0.0,0.0,0.0,0.0,100.0
THOMAS BLUE BIRD,1,0.0,0.0,0.0,0.0,100.0
THOMAS BU,1,0.0,0.0,0.0,0.0,100.0
THOMAS BUILTT,1,0.0,0.0,0.0,0.0,100.0
THOMAS FRHT,1,0.0,0.0,0.0,0.0,100.0
THOMAS GRINDING,1,0.0,0.0,0.0,0.0,100.0
THOMAS SA,1,0.0,0.0,0.0,0.0,100.0
THOMAS-BUILT,1,0.0,0.0,0.0,0.0,100.0
THOMASBUILT,1,0.0,0.0,0.0,0.0,100.0
THOMMAS,1,0.0,0.0,0.0,0.0,100.0
THOMPAON,1,0.0,0.0,0.0,0.0,100.0
THOMUS,1,0.0,0.0,0.0,0.0,100.0
TIYITA,1,0.0,0.0,0.0,0.0,100.0
TIYOTA,1,0.0,0.0,0.0,100.0,0.0
TL,1,0.0,0.0,0.0,0.0,100.0
TO,1,0.0,0.0,0.0,0.0,100.0
TOM,1,0.0,0.0,0.0,0.0,100.0
TOMAS,1,0.0,0.0,0.0,0.0,100.0
TOMOS,1,0.0,0.0,100.0,0.0,0.0
TOOYOTA,1,0.0,0.0,0.0,0.0,100.0
TOTR,1,0.0,0.0,0.0,0.0,100.0
TOTT,1,0.0,0.0,0.0,0.0,100.0
TOTYOTA,1,0.0,0.0,0.0,0.0,100.0
TOTYTA,1,0.0,0.0,0.0,0.0,100.0
TOW,1,0.0,0.0,0.0,0.0,100.0
TOW TRUCK,1,0.0,0.0,0.0,0.0,100.0
TOY0AT,1,0.0,0.0,0.0,0.0,100.0
TOYIOTA,1,0.0,0.0,0.0,0.0,100.0
TOYITA,1,0.0,0.0,0.0,0.0,100.0
TOYOATA,1,0.0,0.0,0.0,0.0,100.0
TOYOOTA,1,0.0,0.0,0.0,0.0,100.0
TOYOTA C,1,0.0,0.0,0.0,0.0,100.0
TOYOTA/HONDA,1,0.0,0.0,0.0,0.0,100.0
TOYOTA/SCION,1,0.0,0.0,0.0,0.0,100.0
TOYOTA4,1,0.0,0.0,0.0,0.0,100.0
TOYOTA4D,1,0.0,0.0,0.0,0.0,100.0
TOYOTAC,1,0.0,0.0,0.0,0.0,100.0
TOYOTACE,1,0.0,0.0,0.0,0.0,100.0
TOYOTAQ,1,0.0,0.0,0.0,0.0,100.0
TOYOTAT,1,0.0,0.0,0.0,0.0,100.0
TOYOTAY,1,0.0,0.0,0.0,100.0,0.0
TOYOTOA,1,0.0,0.0,0.0,0.0,100.0
TOYOTY,1,0.0,0.0,0.0,0.0,100.0
TOYOVA,1,0.0,0.0,0.0,0.0,100.0
TOYOVAL2000,1,0.0,0.0,0.0,0.0,100.0
TOYOVAL2002,1,0.0,0.0,0.0,100.0,0.0
TOYOVAL2006,1,0.0,0.0,0.0,0.0,100.0
TOYOVAL2010,1,0.0,0.0,100.0,0.0,0.0
TOYOVAL2012,1,0.0,0.0,0.0,0.0,100.0
TOYR,1,0.0,0.0,0.0,0.0,100.0
TOYTHIGHLANDER,1,0.0,0.0,0.0,0.0,100.0
TOYTQ,1,0.0,0.0,0.0,0.0,100.0
TPYPTA,1,0.0,100.0,0.0,0.0,0.0
TPYT,1,0.0,0.0,0.0,0.0,100.0
TRACKER,1,0.0,0.0,0.0,0.0,100.0
TRAILMASTER,1,0.0,100.0,0.0,0.0,0.0
TRAILMOBILE,1,0.0,0.0,0.0,0.0,100.0
TRAIN,1,0.0,0.0,0.0,0.0,100.0
TRANSPRO,1,0.0,0.0,0.0,0.0,100.0
TRI,1,0.0,0.0,0.0,0.0,100.0
TRIM,1,0.0,0.0,0.0,0.0,100.0
TRIMUPH,1,0.0,100.0,0.0,0.0,0.0
TRIUMP,1,0.0,0.0,100.0,0.0,0.0
TRK,1,0.0,0.0,0.0,0.0,100.0
TUBU,1,0.0,0.0,0.0,0.0,100.0
TUCSON,1,0.0,0.0,0.0,0.0,100.0
TURF TRACER,1,0.0,0.0,0.0,0.0,100.0
TURT,1,0.0,0.0,0.0,0.0,100.0
TURTLE,1,0.0,0.0,0.0,0.0,100.0
TYOT,1,0.0,0.0,0.0,0.0,100.0
TYOYOTA,1,0.0,0.0,0.0,0.0,100.0
UBA,1,0.0,0.0,0.0,0.0,100.0
UKN,1,0.0,0.0,0.0,0.0,100.0
UKNOWN,1,0.0,0.0,0.0,100.0,0.0
UNMT,1,0.0,0.0,0.0,0.0,100.0
UNNOWN,1,0.0,0.0,0.0,0.0,100.0
US MAIL TRUCK,1,0.0,0.0,0.0,0.0,100.0
US POSTAL TRUCK,1,0.0,0.0,0.0,0.0,100.0
USA,1,0.0,0.0,0.0,0.0,100.0
UTI,1,0.0,0.0,0.0,0.0,100.0
UTILITY,1,0.0,0.0,0.0,0.0,100.0
VAN GUARD TRAILER,1,0.0,0.0,0.0,0.0,100.0
VCG,1,0.0,0.0,0.0,0.0,100.0
VELOCI,1,0.0,100.0,0.0,0.0,0.0
VESP,1,0.0,0.0,100.0,0.0,0.0
VHRY,1,0.0,0.0,0.0,0.0,100.0
VLK,1,0.0,0.0,0.0,0.0,100.0
VOIK,1,0.0,0.0,0.0,0.0,100.0
VOKSWAGON,1,0.0,0.0,0.0,100.0,0.0
VOL.K,1,0.0,0.0,0.0,0.0,100.0
VOLCO,1,0.0,0.0,100.0,0.0,0.0
VOLKD,1,0.0,0.0,0.0,0.0,100.0
VOLKKWAGON,1,0.0,0.0,0.0,0.0,100.0
VOLKSAGON,1,0.0,0.0,0.0,0.0,100.0
VOLKSAWGEN,1,0.0,0.0,0.0,0.0,100.0
VOLKSWAGEM,1,0.0,0.0,0.0,0.0,100.0
VOLKSWAGEN2,1,0.0,0.0,0.0,0.0,100.0
VOLKSWAGKON,1,0.0,0.0,0.0,0.0,100.0
VOLKSWAGN,1,0.0,0.0,0.0,0.0,100.0
VOLKSWAWEN,1,0.0,0.0,0.0,0.0,100.0
VOLKSWGEN,1,0.0,0.0,0.0,0.0,100.0
VOLKSWGONA,1,0.0,0.0,0.0,0.0,100.0
